oa11cd,children in relative low income 2019/20
E00101695,5
E00101696,11
E00101697,18
E00101698,15
E00101699,24
E00101700,6
E00101701,0
E00101702,6
E00101703,16
E00101704,0
E00101705,71
E00101706,9
E00101707,7
E00101708,5
E00101709,21
E00101710,23
E00101711,6
E00101712,8
E00101713,10
E00101714,13
E00101715,11
E00101716,8
E00101717,34
E00101718,8
E00101719,6
E00101720,7
E00101721,5
E00101722,17
E00101723,18
E00101724,0
E00101725,12
E00101726,6
E00101727,12
E00101728,6
E00101729,10
E00101730,8
E00101731,10
E00101732,11
E00101733,5
E00101734,7
E00101735,13
E00101736,18
E00101737,5
E00101738,8
E00101739,6
E00101740,8
E00101741,0
E00101742,22
E00101743,0
E00101744,7
E00101745,6
E00101746,10
E00101747,7
E00101748,9
E00101749,10
E00101750,5
E00101751,13
E00101752,33
E00101753,16
E00101754,13
E00101755,6
E00101756,0
E00101757,14
E00101758,11
E00101759,6
E00101760,8
E00101761,7
E00101762,13
E00101763,5
E00101764,9
E00101765,13
E00101766,21
E00101767,0
E00101768,25
E00101769,9
E00101770,12
E00101771,6
E00101772,7
E00101773,5
E00101774,10
E00101775,14
E00101776,28
E00101777,0
E00101778,8
E00101779,7
E00101780,16
E00101781,16
E00101782,7
E00101783,19
E00101784,10
E00101785,12
E00101786,11
E00101787,8
E00101788,22
E00101789,20
E00101790,15
E00101791,9
E00101792,11
E00101793,13
E00101794,5
E00101795,12
E00101796,9
E00101797,0
E00101798,12
E00101800,42
E00101801,7
E00101802,52
E00101803,5
E00101804,26
E00101805,9
E00101806,15
E00101807,11
E00101808,5
E00101809,13
E00101810,10
E00101811,8
E00101812,42
E00101813,7
E00101814,20
E00101815,0
E00101816,12
E00101817,23
E00101818,6
E00101819,25
E00101820,8
E00101821,0
E00101822,0
E00101823,10
E00101824,5
E00101825,5
E00101826,0
E00101827,16
E00101828,13
E00101829,10
E00101830,21
E00101831,0
E00101832,0
E00101833,7
E00101834,0
E00101835,5
E00101836,23
E00101837,5
E00101838,9
E00101839,26
E00101841,9
E00101842,14
E00101843,16
E00101844,11
E00101845,25
E00101846,17
E00101847,22
E00101848,17
E00101849,24
E00101850,13
E00101851,36
E00101852,22
E00101853,14
E00101854,13
E00101855,10
E00101856,12
E00101857,24
E00101858,5
E00101859,11
E00101860,6
E00101861,7
E00101862,8
E00101863,10
E00101864,9
E00101865,12
E00101866,15
E00101867,6
E00101868,13
E00101869,18
E00101870,19
E00101871,15
E00101872,23
E00101873,6
E00101874,36
E00101875,13
E00101876,13
E00101877,18
E00101878,18
E00101879,0
E00101880,13
E00101881,10
E00101882,5
E00101883,9
E00101884,6
E00101885,11
E00101886,10
E00101887,12
E00101888,9
E00101889,22
E00101890,0
E00101891,0
E00101892,16
E00101893,23
E00101894,7
E00101895,11
E00101896,0
E00101897,5
E00101898,18
E00101899,13
E00101900,18
E00101901,17
E00101902,10
E00101903,14
E00101904,0
E00101905,8
E00101906,5
E00101907,15
E00101908,0
E00101909,23
E00101910,5
E00101911,14
E00101912,6
E00101913,0
E00101914,0
E00101915,8
E00101916,11
E00101917,6
E00101918,0
E00101919,0
E00101920,7
E00101921,13
E00101922,14
E00101923,19
E00101924,18
E00101925,11
E00101926,5
E00101927,13
E00101928,20
E00101929,8
E00101930,8
E00101931,12
E00101932,9
E00101933,16
E00101934,5
E00101935,21
E00101936,9
E00101937,28
E00101938,0
E00101939,6
E00101940,8
E00101941,9
E00101942,10
E00101943,22
E00101944,13
E00101945,14
E00101946,0
E00101947,15
E00101948,20
E00101949,9
E00101950,24
E00101951,11
E00101952,0
E00101954,19
E00101955,5
E00101956,0
E00101957,6
E00101958,11
E00101959,17
E00101960,33
E00101961,16
E00101962,19
E00101963,11
E00101964,20
E00101965,8
E00101966,7
E00101967,37
E00101968,12
E00101969,5
E00101970,17
E00101971,51
E00101972,5
E00101973,17
E00101974,18
E00101975,13
E00101976,7
E00101977,22
E00101978,14
E00101979,9
E00101980,29
E00101981,6
E00101982,6
E00101983,5
E00101984,37
E00101985,0
E00101986,17
E00101987,24
E00101988,23
E00101989,11
E00101990,36
E00101991,29
E00101992,18
E00101993,21
E00165922,6
E00165923,28
E00165924,0
E00165925,18
E00165926,17
E00165927,23
E00165928,5
,
,
,
,
,
,
,
